"","text"
"1850","About 5,000 Pakistani refugees from the #Hindu Sindhi community living in Madhya Pradesh's Indore will be administered #COVID19 vaccines."
"1851","This is good to know!! #Vaccinate #COVID19 https://t.co/YDLKwPQCqP"
"1852","#23NewsBulletin - The National Command and Operation Center (NCOC) has placed strict travel restrictions on 26 countries including india to contain the spread of #Covid19.

#23News 

Picture Courtesy: Online https://t.co/FS84SEUOlE"
"1853","@lavern_spicer Is it conflict-of-interest that he promoted and helped fund #GainofFunction research which took place in the Wuhan laboratory which just happens to be near Ground Zero of the #Covid19 pandemic that has, thus far, killed 3,812,194 people around the world in horrible ways?"
"1854","Rajasthan reports 308 new #COVID19 cases, 7 deaths, and 1260 recoveries in the last 24 hours

Case tally 9,49,684
Active cases 7,441 https://t.co/LQeMyKUw2H"
"1855","Andhra Pradesh reports 6,770 new #COVID19 cases, 12,492 recoveries and 58 deaths in the last 24 hours.
 
Total cases 18,09,844
Total recoveries 17,12,267
Death toll 11,940

Active cases 85,637 https://t.co/2keaW37kSJ"
"1856","Kerala: An umbrella maker in Kozhikode's Perambra, Haris - who is bedridden for past 23 years after meeting with an accident &amp; continues to work in this condition - is facing hardship due to the #COVID19 pandemic. 

An org's volunteers are now helping him get orders via WhatsApp. https://t.co/LJ24zC8STQ"
"1857","West Bengal | Tribals working at tea gardens in Phansidewa block of Darjeeling district are being vaccinated 

Tribals are now aware that coronavirus is a pandemic. They're taking vaccines. Only a few are still afraid:  Prakash Kujur said after getting #COVID19 vaccine https://t.co/62PALZSi8S"
"1858","India reports 80,834 new #COVID19 cases, 1,32,062 patient discharges, and 3,303 deaths in the last 24 hours, as per Union Health Ministry.

Total cases: 2,94,39,989
Total discharges: 2,80,43,446  
Death toll: 3,70,384
Active cases: 10,26,159  

Total vaccination: 25,31,95,048 https://t.co/SFoVHtjgeK"
"1859","37,81,32,474 samples tested for #COVID19, up to 12th June 2021. Of these, 19,00,312 samples were tested yesterday: Indian Council of Medical Research (ICMR) https://t.co/2EMtWfCDhG"
"1860","With 80,834 new #COVID19 cases, India reported its lowest daily case in the last 71 days. The daily positivity rate is at 4.25%, less than 10% for 20 consecutive days. The recovery rate increases to 95.26%, in last 24 hours 1,32,062 recoveries were recorded: Union Health Ministry"
"1861","Just in: #Tinsukia registers 127 fresh cases of #COVID19 out of total 2472 tests done in last 24 hours ie positivity rate of 5.14%.

#Assam 
#AssamCovidUpdate"
"1862","Just in: Dibrugarh registers 119 fresh cases of #COVID19 out of total 4798 tests done in last 24 hours ie positivity rate of 2.48%.

#Assam
#AssamCovidUpdate"
"1863","#COVID19 numbers for Tamil Nadu today - fewer people test positive. Fewer deaths recorded 
Persons tested positive today 14,016/23,53,721 (total)
Discharged today 25,895 /21,74,247 (total)
Deaths today 267 /29,547 (total) 
Active cases 1,49,927 @THChennai @the_hindu"
"1864","If numbers mattered, in addition to deaths by #guns the United States of America would have not reached 600,000+ deaths due to #COVID19. That stock market figures, the ups &amp; downs of the Dow are more worthy of attention is telling about our core values as a nation. https://t.co/Jag99EZdvK"
"1865","Very timely since nih also studying the potential of #colchicine for #COVID19 https://t.co/JyLc5IKvPD @CSIR_IND https://t.co/WYKiVRWSh1"
"1866","Can you imagine that this is the same city which just faced the horror of #COVID19 pandemic with thousands and thousands dying in just a span of few days, hospitals running out of beds and oxygen? It would be a miracle if the 3rd wave doesn't come and turn this city into hell. https://t.co/tmOndX7NRB"
"1867","Iran's Supreme Leader Ayatollah Syed Ali #Khamenei &amp; #ImamAliReza shrine, #Mashhad have sent 300 oxygen concentrators to #India as a part of international help for #COVID19  pandemic affected #India. Okhla's Al Shifa hospital &amp; Khureji's Lifeline hospital got 3 concentrators each https://t.co/4P1YaXsW8t"
"1868","The @MOPHQatar has just announced the latest #COVID19 figures here in #Qatar. Check them out below.

#QatarNews #QatarUnited #YourSafetyIsMySafety #ForQatarStayHome #stayathome 
https://t.co/MOvIpFdVtE"
"1869","It’s definitely on the increase again <U+0001F61E><U+0001F61E><U+0001F61E>#covid #COVID #COVIDdata #holdfastrestrictions #unlocknoway #health #covidapp #keeprestrictions @CMO_England @BorisJohnson @DominicRaab @UCL_IEHC @UCLPopHealthSci #covid19 https://t.co/1wxBVi114b"
"1870","I have been warning about this since 2020. If you still dont pay attention, then seriously nothing &amp; no one can help you.

#COVID19 https://t.co/estX4S0fpw"
"1871","The Ministry of Public Health also reported 246 recoveries. With this, the active cases in Qatar dropped to 2,209 while the total recoveries jumped to 216,944.
#Qatar #COVID19 #MOPH
 https://t.co/1cvQrUjFAc"
"1872","""#Kerala reports 11,584 new #COVID19 cases, 17,856 recoveries and 206 deaths today. Active cases: 1,23,00. Total recoveries: 25,93,625. Death toll: 11,181 (ANI)"""
"1873","Have questions about #COVID19 vaccines? Check out what Dr Gaines has to say about why getting vaccinated matters @adcouncil. #vaxbecause
https://t.co/xMLMpdoqdT"
"1874",".@BorisJohnson @JustinTrudeau @POTUS @EUCouncil @RegSprecher @ScottMorrisonMP the world needs #COVID19 vaccine access now. The #G7 must step up to #EndThePandemic for all by sharing 1 billion doses through #COVAX by September <U+0001F30D> https://t.co/ko9l8PkANC"
"1875","The @MOPHQatar has just announced the latest #COVID19 figures here in #Qatar. Check them out below.

#ILoveQatar #QatarUnited #YourSafetyIsMySafety #ForQatarStayHome #stayathome 
https://t.co/mR4J0Pk2ws"
"1876","Why blame only #BabaRamdev ? Over the years, many politicians have confused medicine with mythology and science with superstition. 
Even Modi said Ganesha is an eg of Plastic Surgery .
So you need to promote science to fight #COVID19 says @sagarikaghose

https://t.co/ZvOhMInhy8"
"1877","Today we remembered our beloved Dr Samir Dasgupta whom we lost in #COVID19 this year. He was one of those doctors who risked his life to work for the people. We shall remember him always.
His daughter was also present today to offer her obituary
#AapnonKiYaad #CountEveryDeath https://t.co/yFsgXDXxzq"
"1878","Feeling #lockdownuk will be extended at least 6 Weeks so taking us till August and the start of seasonal flu season. Which will then be classed as #COVID and we stuck in #lockdown forever. #COVID19 or #COVID20/21. This has to be proof it's about money and not #lockdowneasing https://t.co/v9eAGuTPO8"
"1879","The actions and projects of the #JoeBiden and Kamala Harris administrations benefit everyone equally, whether it is facing #COVID19, creating jobs, driving innovation and the economy, repositioning the #UnitedStates globally with dignity and corresponding strength.

Help is here."
"1880","#NHSReset  @NHSConfed
conference 

Wow <U+0001F635> incredible <U+0001F5E3>panellists for the Mental Health in the time of #covid19- the system response brilliant session on Thursday 17th June 

<U+0001F44C>including our  #CEO @Christy_Melam

<U+0001F3C3><U+200D><U+2640><U+FE0F><U+0001F3C3>not to be missed...save your <U+0001F4BA> at this session https://t.co/r6GA1L2Psj"
"1881","#DYK how the #COVID19 vaccines work? https://t.co/WgMaFgCnLs @CDCgov https://t.co/cGuEoTAb1O"
"1882","Reminder: Groups of up to five people are allowed in our parks until further notice.  Find the latest on our #COVID19 response here: https://t.co/jd5fJ7kVT6 https://t.co/yGay4uqJH5"
"1883","Are you awake yet? #awake #endgame #scamdemic #COVID19 #G7Summit2021 https://t.co/yY1Z9QqPB4"
"1884","Help slow the spread of #COVID19 and identify at risk cases sooner by self-reporting your symptoms daily, even if you feel well <U+0001F64F>. Download the app https://t.co/HcVO14p5mM"
"1885","People with Type 1 #diabetes face greater health risks, all their lives.  #COVID19 is another example.  Such an insidious condition. https://t.co/AL5kT1Xka5"
"1886","Inaugurated a #COVID19 #vaccination centre at Mahapragya School, Bhuleshwar.
This centre has been opened by the efforts of MLA Shri @rahulnarwekar of Colaba Assembly.
Presence of Sant have strengthened our resolve.
#SevaHiSangathan https://t.co/tbqPLpvqxb"
"1887","Tea stalls permitted to offer takeaway services in 27 districts in TN including Chennai between 6 am to 5 pm from June 14. No tea stalls in 11 districts in West and Delta regions.
#COVID19 
#LockDown https://t.co/YQtITYRqhy"
"1888","14,016 patients test positive for #COVID19 in Tamil Nadu today (June 13). Here is the update. 

#Corona https://t.co/EL5xinRCYX"
"1889","Coronavirus Update:

Confirmed Cases: 176,420,784 (+16,699)
Active Cases: 12,214,870 (-9,176)
Recovered: 160,395,081 (+25,419)
Deaths: 3,810,833 (+456)

Updated every 2 hours
#Coronavirus #COVID #COVID19 https://t.co/hAyA2Ws9N5"
"1890","Coronavirus Update:

Confirmed Cases: 176,482,998 (+75,952)
Active Cases: 12,216,978 (-9,996)
Recovered: 160,453,826 (+84,237)
Deaths: 3,812,194 (+1,711)

Updated every 2 hours
#Coronavirus #COVID #COVID19 https://t.co/9uKAdSyCRs"
"1891","Coronavirus Update:

Confirmed Cases: 176,384,802 (+351,458)
Active Cases: 12,230,588 (-66,424)
Recovered: 160,344,157 (+408,334)
Deaths: 3,810,057 (+9,548)

Updated every 2 hours
#Coronavirus #COVID #COVID19 https://t.co/kEzLLOVcwE"
"1892","Coronavirus Update:

Confirmed Cases: 176,423,508 (+19,416)
Active Cases: 12,214,333 (-9,657)
Recovered: 160,398,182 (+28,521)
Deaths: 3,810,993 (+552)

Updated every 2 hours
#Coronavirus #COVID #COVID19 https://t.co/CvHgTzXlYL"
"1893","Coronavirus Update:

Confirmed Cases: 176,489,615 (+82,464)
Active Cases: 12,213,885 (-13,055)
Recovered: 160,463,451 (+93,736)
Deaths: 3,812,279 (+1,783)

Updated every 2 hours
#Coronavirus #COVID #COVID19 https://t.co/dtOFWY2rZ7"
"1894","Coronavirus Update:

Confirmed Cases: 176,400,316 (+11,263)
Active Cases: 12,229,805 (-290)
Recovered: 160,359,997 (+11,177)
Deaths: 3,810,514 (+376)

Updated every 2 hours
#Coronavirus #COVID #COVID19 https://t.co/qpawfokFSq"
"1895","Cleaning agents, #COVID19 and child health.Protecting and promoting the #health and well-being of children and youth. https://t.co/VqrvVZqv4T #wellness"
"1896","If one nation has #COVID19 and no access to vaccines, all countries are in danger! @ausgov @ScottMorrison#VOWnow to shine a spotlight on the immorality of vaccine rationing and support #TRIPSwaiver to #VaccinateOurWorld! #G7UK https://t.co/pbWU2LG8Xa https://t.co/O0azw87xu0"
"1897","DEVI PARASHAKTI - AKASHIC READING || 13 JUNE 2021 

WHEN FIRST-WORLD COUNTRIES CLOSE THEIR BORDERS DURING A MASSIVE GLOBAL RECESSION, KAILASA OPENED ITS DOORS TO ALL!
FB:https://t.co/sRppkCzCyq
YT: https://t.co/gxgPqApRU9

#COVID19 #Nithyananda #KAILASA #OnlyHopeForHumanity"
"1898","DEVI PARASHAKTI - AKASHIC READING || 13 JUNE 2021 

""Preventive protection is the only way.."" Divine Cosmic Mother reveals deeper truths for protecting her cosmic children from this pandemic. 
FB:https://t.co/BgvuV2Elc9
YT: https://t.co/Cvyu5pCfAe

#COVID19 #Nithyananda #KAILASA https://t.co/fJ7N3ST2cF"
"1899","DEVI PARASHAKTI - AKASHIC READING || 13 JUNE 2021 

""Devi Parashakti does not read the future. She just manifests what you want"" -The SPH
FB:https://t.co/sRppkCzCyq
YT: https://t.co/gxgPqApRU9

#COVID19 #Nithyananda #KAILASA https://t.co/YqnWZycV8H"
"1900","DEVI PARASHAKTI - AKASHIC READING || 13 JUNE 2021 

""I'll shower you with wealth miraculously, You don't need to do anything. Intention to do daana, KAILASA seva, is enough to attract #wealth.
FB:https://t.co/sRppkCzCyq
YT: https://t.co/gxgPqApRU9

#COVID19 #Nithyananda #KAILASA https://t.co/BJS6ffHq3W"
"1901","DEVI PARASHAKTI - AKASHIC READING || 13 JUNE 2021 

The more you are integrated to your consciousness, the more you manifest bliss, shakti and higher vertical timezone you start residing in.
FB:https://t.co/sRppkCzCyq
YT: https://t.co/gxgPqApRU9

#COVID19 #Nithyananda #KAILASA https://t.co/Uu3y9VvxgB"
"1902","Requirements of close to 50 hospitals identified in States where the highest number of #COVID19 cases were reported.

Details: https://t.co/IZxuKcDkbx"
"1903","Office of @PrinSciAdvGoI invites private sector companies, donor organizations, and individuals to support various #COVID19 projects including the initiative of Project Extension Hospitals

Details: https://t.co/IZxuKcDkbx"
"1904","Updates on #COVID19 

India reports 80,834 new cases in the last 24 hours; lowest after 71 days

Daily recoveries continue to outnumber the daily new cases for 31 consecutive days

#IndiaFightsCorona 

Details: https://t.co/7d9lgq1vYk https://t.co/sCZE0MsyNJ"
"1905","#COVID19 vaccination update

<U+0001F489> More than 26 crore vaccine doses provided to States/UTs

<U+0001F489> More than 1.53 crore doses still available with States/UTs to be administered

#LargestVaccineDrive 

Read: https://t.co/5sCdBxE35c https://t.co/6iunCbP5R2"
"1906","How healthy are your lungs?

<U+0001F539>#COVID19 patients can reduce the chances of supplemental oxygen requirement and also monitor their conditions through this quick breathing exercise<U+0001F447>

#IndiaFightsCorona #StaySafe https://t.co/34BbvjljRC"
"1907","Updates on #COVID19 

India's active caseload further declines to 10,26,159

Daily positivity rate stands at 4.25%, less than 10% positivity for 20 continuous days

#IndiaFightsCorona 

Details: https://t.co/7d9lgq1vYk 
 https://t.co/0ZgZInG5Ir"
"1908","#COVID19 patient Namita Sahu of #Darbekela village under #Padmapur sub-division of #Bargarh district needs ECMO Treatment.This requires Air Ambulance,humble requests to provide financial assistance at the government level @CMO_Odisha @PMOIndia @MoSarkar5T @mygovindia https://t.co/TfDRrHD6we"
"1909","Anti-vaxxers are spamming bars requiring vaccine proof with one-star reviews. @CaulfieldTim #COVID19 https://t.co/FoHdhkh16s"
"1910","Scientists and the medical profession are doing their bit;
wearing a face mask is the least we can do.

 https://t.co/U0ZdYqkFhx
 #Covidiots #Covid19 #Trumpanzees"
"1911","@gayle45 @Ericdun19416783 Good ppl who want to show us the dishonesty and corruption conduct by those in power, 
What is the #COVID19 doing right now and further into the future. https://t.co/VJaKS917w9"
"1912","@LuPwME And there I though #COVID19 came from #China.

Now I know it's my fault.

I need to GET some CBT to fix my brainfog.

But I have come to agree that this illness leads to hysteria.

Have you ever seen anything more hysterical than a psychiatrist trying to justify their research?"
"1913","Queue jumping and Taiwan's rush to vaccinate | Taiwan News | 2021-06-12 17:37:00 https://t.co/gdhN6A0JP7 #COVID19 #COVID_19 #COVIDVaccination #COVID19Vaccination"
"1914","Chinese researchers find batch of new coronaviruses in bats https://t.co/O9sj6JGGuO via @CTVNews #China #COVID19 #COVID_19"
"1915","U.S. FDA asks J&amp;J to discard millions of COVID-19 vaccine doses https://t.co/lIUJxdpGUg via @CTVNews #COVID19 #COVID_19 #COVIDVaccine #COVID19Vaccine #JohnsonandJohnsonVaccine"
"1916","Latest update and statement on Coronavirus, Ministry of Public Health (MoPH) today reported 117 new cases of coronavirus (Covid-19) and 246 people recovered from the virus in the last 24 hours, bringing the total number of people recovered in Qatar to 216,944. #Qatar #Covid19 https://t.co/DB4e7Gt2Fh"
"1917","#Hyderabad Telangana

Preeti Hospital, #Gachibowli

2 ICUbeds with #Ventilator, 5 only #ICU beds, 5 #oxygenbeds .

Contact : 8008516042

#COVID19 
Thanks &amp; Regards
*Helping Handz*
https://t.co/UiAZV94JTt"
"1918","#Patna 
#Ambulance service available
Contact no : 9334691234

Thanks &amp; Regards
*Helping Handz*
https://t.co/UiAZV94JTt
#COVID19"
"1919","#Kolkata 

#oxygencylinders  available 
Phone: 8910925774
Location: all across Kolkata

#COVID19 
Thanks &amp; Regarss 
*Helping Handz*
https://t.co/UiAZV94JTt"
